City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
3687238,Cartagena,40,CO,1603344093,100,10.4,-75.51,80.6,4.7
1005768,Ellisras,0,ZA,1603344181,63,-23.66,27.74,65.05,11.1
2122605,Okhotsk,100,RU,1603343971,92,59.38,143.3,36.45,31.45
2035601,Mergen,0,CN,1603344182,62,49.18,125.22,37.94,13.31
3381538,Grand-Santi,55,GF,1603344182,97,4.25,-54.38,71.49,2.42
244878,Biltine,80,TD,1603344182,16,14.53,20.92,78.98,12.21
1721720,Cabatuan,12,PH,1603343926,73,10.88,122.49,86.04,15.5
2088163,Popondetta,54,PG,1603344035,59,-8.75,148.25,88.16,6.17
124665,Mashhad,75,IR,1603343907,71,36.3,59.61,53.6,9.17
5003369,New Baltimore,40,US,1603344184,100,42.68,-82.74,48.99,3.83
2249281,Linguère,23,SN,1603344184,24,15.4,-15.12,77.85,2.44
722849,Apátfalva,60,HU,1603344184,87,46.17,20.58,45.0,8.05
3598825,Chahal Guatemala,69,GT,1603343887,84,15.75,-89.57,72.46,2.19
5742974,North Bend,1,US,1603344185,81,43.41,-124.22,48.99,5.82
934479,Grand Gaube,30,MU,1603344185,66,-20.01,57.66,79.0,11.01
473910,Vetluga,79,RU,1603344185,95,57.86,45.78,29.84,6.6
1028434,Quelimane,75,MZ,1603344042,88,-17.88,36.89,73.4,9.17
2449066,Tombouctou,0,ML,1603344186,18,20.0,-3.0,81.66,7.27
3092472,Malbork,50,PL,1603344186,100,54.04,19.03,51.01,15.64
3460901,Itaguaçu,69,BR,1603344186,89,-19.8,-40.86,70.75,1.99
1506676,Gari,90,RU,1603344187,98,59.43,62.35,29.68,8.19
3987500,San Buenaventura,6,MX,1603344187,64,27.08,-101.53,75.4,3.04
364071,Wad Rāwah,0,SD,1603344187,30,15.16,33.14,83.86,11.05
3461789,Guarujá,6,BR,1603344188,26,-23.99,-46.26,73.99,6.2
3871336,Santiago,0,CL,1603344188,71,-33.46,-70.65,57.99,5.82
